term,coefficient_standardized,standard_error_standardized,z,p_value,coefficient_original_scale,is_learning_mechanism
intercept,-2.3029958608400567,0.14483050168686473,-15.901317982170083,6.204554640900299e-57,-4.576802705751467,False
ordinance_profile_population,-0.9472903320665542,1.3902556005734792,-0.6813785405185908,0.49563199787179213,-3.951265147842883e-06,False
municipal_population,0.8866591358392533,1.3336935649334474,0.6648147364222293,0.5061689959591201,3.983507828607065e-06,False
percent_25_plus_high_school_or_higher,-0.19893527430969662,0.20748665348198791,-0.9587858831940068,0.33766662227517824,-0.013359410750495012,False
non_hispanic_white_share,0.16282582391098974,0.20140090210452077,0.8084662094834522,0.41882225059373307,0.005817255909762127,False
per_capita_income,-0.04471134309641451,0.1678550697817172,-0.26636873795088956,0.7899552392453373,-3.700456628197447e-06,False
per_capita_spending,0.014789011757756727,0.1274701653731531,0.11601939727985548,0.9076371688016653,1.0083479356981832e-05,False
texas_smoker_percentage,-0.060873270089229964,0.17429550571999558,-0.3492532399947387,0.7268991998084606,-0.03577828695496911,False
proportion_state_population_local_restriction,0.9973947179969479,0.13262923381737607,7.520172508651534,5.470401414463259e-14,16.78835755849737,True
