Municipality,County,Year,Adoption Year,adopted_this_year,ordinance_profile_population,municipal_population,percent_25_plus_high_school_or_higher,non_hispanic_white_share,per_capita_income,per_capita_spending,texas_smoker_percentage,proportion_state_population_local_restriction
Seagoville,"Dallas, Kaufman",2012,2016,0,18446,14829,77.38,54.17,17070,1351.79,18.1,0.191585
Seagoville,"Dallas, Kaufman",2013,2016,0,18446,15099,78.3,47.76,18151,1351.79,15.9,0.195921
Seagoville,"Dallas, Kaufman",2014,2016,0,18446,15379,76.24,48.96,18529,1351.79,14.6,0.23083
Seagoville,"Dallas, Kaufman",2015,2016,0,18446,15558,72.16,46.21,16997,1351.79,15.2,0.245775
Seagoville,"Dallas, Kaufman",2016,2016,1,18446,15701,71.79,44.77,16973,1351.79,14.2,0.258409
Socorro,El Paso,2009,2014,0,34306,31240,51.95,1.59,10864,294.9,17.9,0.181996
Socorro,El Paso,2010,2014,0,34306,30975,55.28,1.75,11567,294.9,15.8,0.175965
Socorro,El Paso,2011,2014,0,34306,31544,55.01,1.65,11581,294.9,19.2,0.185339
Socorro,El Paso,2012,2014,0,34306,31912,54.75,1.62,12327,294.9,18.1,0.191585
Socorro,El Paso,2013,2014,0,34306,32227,55.23,1.6,12253,294.9,15.9,0.195921
Socorro,El Paso,2014,2014,1,34306,32623,56.51,1.89,11845,294.9,14.6,0.23083
Southlake,"Tarrant, Denton",2009,2016,0,31265,26054,97.99,89.3,63833,3124.38,17.9,0.181996
Southlake,"Tarrant, Denton",2010,2016,0,31265,25567,98.5,87.74,66433,3124.38,15.8,0.175965
Southlake,"Tarrant, Denton",2011,2016,0,31265,26194,98.4,87.79,67942,3124.38,19.2,0.185339
Southlake,"Tarrant, Denton",2012,2016,0,31265,26454,98.03,85.14,69213,3124.38,18.1,0.191585
Southlake,"Tarrant, Denton",2013,2016,0,31265,27006,98.04,84.7,71272,3124.38,15.9,0.195921
Southlake,"Tarrant, Denton",2014,2016,0,31265,27755,98.5,82.23,74380,3124.38,14.6,0.23083
Southlake,"Tarrant, Denton",2015,2016,0,31265,28361,98.31,81.01,78584,3124.38,15.2,0.245775
Southlake,"Tarrant, Denton",2016,2016,1,31265,29101,98.46,79.98,80903,3124.38,14.2,0.258409
St. Paul,Collin,2009,2010,0,992,1133,58.15,18.62,13776,227.14,17.9,0.181996
St. Paul,Collin,2010,2010,1,992,985,63.82,22.94,15702,227.14,15.8,0.175965
Sullivan City,Hidalgo,2009,2018,0,3908,4348,32.35,0.0,8574,1694.31,17.9,0.181996
Sullivan City,Hidalgo,2010,2018,0,3908,3998,33.19,0.0,7945,1694.31,15.8,0.175965
Sullivan City,Hidalgo,2011,2018,0,3908,4019,36.04,0.12,8606,1694.31,19.2,0.185339
Sullivan City,Hidalgo,2012,2018,0,3908,4026,36.21,0.25,7867,1694.31,18.1,0.191585
Sullivan City,Hidalgo,2013,2018,0,3908,4069,33.58,0.22,9306,1694.31,15.9,0.195921
Sullivan City,Hidalgo,2014,2018,0,3908,4087,41.54,1.05,9017,1694.31,14.6,0.23083
Sullivan City,Hidalgo,2015,2018,0,3908,4125,43.61,1.43,9793,1694.31,15.2,0.245775
Sullivan City,Hidalgo,2016,2018,0,3908,4140,45.7,1.71,11218,1694.31,14.2,0.258409
Sullivan City,Hidalgo,2017,2018,0,3908,4125,45.65,1.5,11997,1694.31,15.7,0.325654
Sullivan City,Hidalgo,2018,2018,1,3908,4141,43.4,2.0,12521,1694.31,14.4,0.364026
Sunnyvale,Dallas,2009,2014,0,7893,4296,93.59,67.99,39929,3182.42,17.9,0.181996
Sunnyvale,Dallas,2010,2014,0,7893,4647,89.46,66.54,42873,3182.42,15.8,0.175965
Sunnyvale,Dallas,2011,2014,0,7893,4860,90.05,67.86,44481,3182.42,19.2,0.185339
Sunnyvale,Dallas,2012,2014,0,7893,5114,89.83,68.87,40245,3182.42,18.1,0.191585
Sunnyvale,Dallas,2013,2014,0,7893,5310,89.71,70.87,37299,3182.42,15.9,0.195921
Sunnyvale,Dallas,2014,2014,1,7893,5480,91.62,67.32,40539,3182.42,14.6,0.23083
Tyler,Smith,2009,2016,0,105995,95307,83.1,53.19,25233,1728.42,17.9,0.181996
Tyler,Smith,2010,2016,0,105995,94671,83.67,52.6,27169,1728.42,15.8,0.175965
Tyler,Smith,2011,2016,0,105995,95974,84.27,52.28,27608,1728.42,19.2,0.185339
Tyler,Smith,2012,2016,0,105995,97125,84.01,51.75,27361,1728.42,18.1,0.191585
Tyler,Smith,2013,2016,0,105995,98335,84.08,50.43,27361,1728.42,15.9,0.195921
Tyler,Smith,2014,2016,0,105995,99344,84.5,49.78,26132,1728.42,14.6,0.23083
Tyler,Smith,2015,2016,0,105995,100806,83.57,48.51,25803,1728.42,15.2,0.245775
Tyler,Smith,2016,2016,1,105995,101946,83.72,49.29,25986,1728.42,14.2,0.258409
Universal City,Bexar,2009,2016,0,19720,17437,88.39,55.45,25454,1203.5,17.9,0.181996
Universal City,Bexar,2010,2016,0,19720,17705,88.6,54.65,25717,1203.5,15.8,0.175965
Universal City,Bexar,2011,2016,0,19720,18164,89.55,52.73,26161,1203.5,19.2,0.185339
Universal City,Bexar,2012,2016,0,19720,18502,89.72,52.68,26724,1203.5,18.1,0.191585
Universal City,Bexar,2013,2016,0,19720,18844,90.58,51.51,26643,1203.5,15.9,0.195921
Universal City,Bexar,2014,2016,0,19720,19164,90.92,52.33,27685,1203.5,14.6,0.23083
Universal City,Bexar,2015,2016,0,19720,19466,91.12,48.19,26559,1203.5,15.2,0.245775
Universal City,Bexar,2016,2016,1,19720,19733,91.26,48.7,27635,1203.5,14.2,0.258409
University Park,Dallas,2009,2018,0,25278,24352,98.81,90.44,66759,862.53,17.9,0.181996
University Park,Dallas,2010,2018,0,25278,22972,98.92,90.35,70398,862.53,15.8,0.175965
University Park,Dallas,2011,2018,0,25278,23076,99.08,90.03,69075,862.53,19.2,0.185339
University Park,Dallas,2012,2018,0,25278,23241,99.39,88.96,74101,862.53,18.1,0.191585
University Park,Dallas,2013,2018,0,25278,23460,99.45,90.17,77638,862.53,15.9,0.195921
University Park,Dallas,2014,2018,0,25278,23761,99.46,90.41,78203,862.53,14.6,0.23083
University Park,Dallas,2015,2018,0,25278,24101,99.57,88.17,79684,862.53,15.2,0.245775
University Park,Dallas,2016,2018,0,25278,24346,99.59,86.93,88634,862.53,14.2,0.258409
University Park,Dallas,2017,2018,0,25278,24692,99.69,86.46,93421,862.53,15.7,0.325654
University Park,Dallas,2018,2018,1,25278,24954,99.68,86.55,98397,862.53,14.4,0.364026
Waco,McLennan,2009,2015,0,138486,122731,74.01,47.6,17045,3107.6,17.9,0.181996
Waco,McLennan,2010,2015,0,138486,122212,75.48,46.37,17323,3107.6,15.8,0.175965
Waco,McLennan,2011,2015,0,138486,123584,75.69,45.53,18185,3107.6,19.2,0.185339
Waco,McLennan,2012,2015,0,138486,124843,76.93,44.54,17846,3107.6,18.1,0.191585
Waco,McLennan,2013,2015,0,138486,126406,77.6,44.66,18361,3107.6,15.9,0.195921
Waco,McLennan,2014,2015,0,138486,127796,77.81,44.13,18623,3107.6,14.6,0.23083
Waco,McLennan,2015,2015,1,138486,129193,79.21,43.8,19289,3107.6,15.2,0.245775
Waxahachie,Ellis,2009,2014,0,41140,27289,81.3,59.67,20814,2103.75,17.9,0.181996
Waxahachie,Ellis,2010,2014,0,41140,28276,82.72,60.28,21794,2103.75,15.8,0.175965
Waxahachie,Ellis,2011,2014,0,41140,29033,84.72,59.2,22351,2103.75,19.2,0.185339
Waxahachie,Ellis,2012,2014,0,41140,29760,85.45,61.09,23864,2103.75,18.1,0.191585
Waxahachie,Ellis,2013,2014,0,41140,30412,85.76,59.99,22906,2103.75,15.9,0.195921
Waxahachie,Ellis,2014,2014,1,41140,31045,87.21,58.01,23061,2103.75,14.6,0.23083
Weslaco,Hidalgo,2009,2017,0,40160,32960,65.3,16.26,14818,1078.55,17.9,0.181996
Weslaco,Hidalgo,2010,2017,0,40160,34544,67.96,17.8,15547,1078.55,15.8,0.175965
Weslaco,Hidalgo,2011,2017,0,40160,35217,67.92,16.67,15662,1078.55,19.2,0.185339
Weslaco,Hidalgo,2012,2017,0,40160,35720,68.41,15.98,15490,1078.55,18.1,0.191585
Weslaco,Hidalgo,2013,2017,0,40160,36273,69.02,15.05,15622,1078.55,15.9,0.195921
Weslaco,Hidalgo,2014,2017,0,40160,36752,67.96,14.61,15676,1078.55,14.6,0.23083
Weslaco,Hidalgo,2015,2017,0,40160,38666,66.61,12.61,15523,1078.55,15.2,0.245775
Weslaco,Hidalgo,2016,2017,0,40160,39021,67.65,11.66,17179,1078.55,14.2,0.258409
Weslaco,Hidalgo,2017,2017,1,40160,39420,70.97,11.0,17844,1078.55,15.7,0.325654
Whitehouse,Smith,2009,2019,0,8257,7518,87.61,92.58,22711,1093.21,17.9,0.181996
Whitehouse,Smith,2010,2019,0,8257,7355,87.82,90.71,22943,1093.21,15.8,0.175965
Whitehouse,Smith,2011,2019,0,8257,7515,93.1,92.26,25204,1093.21,19.2,0.185339
Whitehouse,Smith,2012,2019,0,8257,7635,97.19,91.49,25782,1093.21,18.1,0.191585
Whitehouse,Smith,2013,2019,0,8257,7766,97.01,93.25,25428,1093.21,15.9,0.195921
Whitehouse,Smith,2014,2019,0,8257,7882,96.33,92.59,24377,1093.21,14.6,0.23083
Whitehouse,Smith,2015,2019,0,8257,7994,94.51,89.79,25368,1093.21,15.2,0.245775
Whitehouse,Smith,2016,2019,0,8257,8069,92.15,89.71,24789,1093.21,14.2,0.258409
Whitehouse,Smith,2017,2019,0,8257,8140,87.52,83.18,25344,1093.21,15.7,0.325654
Whitehouse,Smith,2018,2019,0,8257,8303,88.4,79.09,25324,1093.21,14.4,0.364026
Whitehouse,Smith,2019,2019,1,8257,8489,87.86,75.72,26826,1093.21,14.6,0.425187
Wichita Falls,"Wichita, Archer",2009,2015,0,102316,101896,82.66,65.41,22090,1781.34,17.9,0.181996
Wichita Falls,"Wichita, Archer",2010,2015,0,102316,104066,81.96,63.94,22079,1781.34,15.8,0.175965
Wichita Falls,"Wichita, Archer",2011,2015,0,102316,103973,82.58,63.36,22426,1781.34,19.2,0.185339
Wichita Falls,"Wichita, Archer",2012,2015,0,102316,104152,83.91,62.72,22943,1781.34,18.1,0.191585
Wichita Falls,"Wichita, Archer",2013,2015,0,102316,104402,84.9,62.49,22635,1781.34,15.9,0.195921
Wichita Falls,"Wichita, Archer",2014,2015,0,102316,104771,85.26,62.11,22768,1781.34,14.6,0.23083
Wichita Falls,"Wichita, Archer",2015,2015,1,102316,104926,85.3,61.77,22594,1781.34,15.2,0.245775
Wolfforth,Lubbock,2009,2014,0,5521,3353,91.03,76.47,26647,969.38,17.9,0.181996
Wolfforth,Lubbock,2010,2014,0,5521,3467,89.36,70.46,26593,969.38,15.8,0.175965
Wolfforth,Lubbock,2011,2014,0,5521,3555,86.6,67.48,25529,969.38,19.2,0.185339
Wolfforth,Lubbock,2012,2014,0,5521,3686,86.82,63.75,25122,969.38,18.1,0.191585
Wolfforth,Lubbock,2013,2014,0,5521,3791,86.38,66.39,26147,969.38,15.9,0.195921
Wolfforth,Lubbock,2014,2014,1,5521,3891,84.53,60.37,21927,969.38,14.6,0.23083
Yoakum,Lavaca,2009,2016,0,5908,6200,61.38,40.94,15733,2793.6,17.9,0.181996
Yoakum,Lavaca,2010,2016,0,5908,6169,61.82,41.29,16625,2793.6,15.8,0.175965
Yoakum,Lavaca,2011,2016,0,5908,6028,59.48,37.39,18213,2793.6,19.2,0.185339
Yoakum,Lavaca,2012,2016,0,5908,6102,66.32,39.33,18068,2793.6,18.1,0.191585
Yoakum,Lavaca,2013,2016,0,5908,5514,65.71,40.91,16937,2793.6,15.9,0.195921
Yoakum,Lavaca,2014,2016,0,5908,5540,65.43,36.62,17482,2793.6,14.6,0.23083
Yoakum,Lavaca,2015,2016,0,5908,5483,68.14,35.51,17626,2793.6,15.2,0.245775
Yoakum,Lavaca,2016,2016,1,5908,5865,73.57,35.14,17399,2793.6,14.2,0.258409
